Script;Comment;Input;Model;Training error;Training MSE; Training NRMSE;Validation error; Validation MSE; Validation NRMSE;Testing error;Testing MSE;Testing NRMSE
"lasso_regressions_glmnet";"testing the workflow";"featureset_pca";"lasso regression GLMNET";"185848392034893";"57325228881.8301";"239426.875855302";"13657817121503.4";"42128175944.6334";"204958.542564326";"481285254487346";"63624199152.27";"252238.37763566"
"Lasso_regression_larss";"testing the workflow";"featureset_pca";"Lasso regression LARS";"185837142967025";"57321759089.1503";"239419.629707237";"13767353333195.7";"42465480720.3808";"205991.90074647";"481051438408365";"63593289498.0983";"252177.099471975"
"linear_regressions_fitting";"testing the workflow";"featureset_pca";"simple linear regression";"2.60293008614362e+22";"8028778797481852928";"2833509978.36285";"2.5299439027413e+22";"8580896720715416576";"2928880275.98241";"6.14361610645026e+22";"8121642020556896256";"2849849473.31555"
"ridge_regressions_mass";"testing the workflow";"featureset_pca";"ridge regression MASS";"2.60293020642978e+22";"8028779168506406912";"2833510043.83369";"2.68999425090081e+21";"8297266655916455936";"2879853287.68536";"6.14365805649071e+22";"8121697477018592256";"2849859203.01663"
"ridge_regressions_glmnet";"testing the workflow";"featureset_pca";"ridge regression GLMNET";"2.60323599821555e+22";"8029722388080029696";"2833676479.07802";"2.65046027520288e+21";"8175358885626166272";"2858906235.77694";"6.14632354942662e+22";"8125221163892688896";"2850477357.19698"
"lasso_regressions_glmnet";"testing the workflow";"featureset_pca";"lasso regression GLMNET";"2.6036132880669e+22";"8030886144561694720";"2833881815.56001";"2.65075129183197e+21";"8176255504841740288";"2859067208.09094";"6.14488069641981e+22";"8123313763526756352";"2850142761.9554"
"Lasso_regression_larss";"testing the workflow";"featureset_pca";"Lasso regression LARS";"2.60293008614362e+22";"8028778797481852928";"2833509978.36285";"2.61060276975523e+21";"8052454516255193088";"2837335005.04895";"6.14361610645026e+22";"8121642020556895232";"2849849473.31555"

"linear_regressions_fitting";"testing the workflow";"featureset_pca";"simple linear regression";"2.59866878430113e+22";"8015634744914049024";"2831189634.21987";"2.53391973198106e+22";"8594379646295319552";"2931183432.80073";"6.1579732165536e+22";"8140621609562558464";"2853177458.47723"
"ridge_regressions_mass";"testing the workflow";"featureset_pca";"ridge regression MASS";"2.59866892930996e+22";"8015635192196040704";"2831189713.21175";"2.68365420051439e+21";"8277707673064373248";"2876420659.42794";"6.15797114852097e+22";"8140618875696962560";"2853176979.38578"
"ridge_regressions_glmnet";"testing the workflow";"featureset_pca";"ridge regression GLMNET";"2.59950932560485e+22";"8018227407787935744";"2831647472.37151";"2.65127093912319e+21";"8177863555134956544";"2859330947.36821";"6.15956199530438e+22";"8142721918572781568";"2853545499.65"
"lasso_regressions_glmnet";"testing the workflow";"featureset_pca";"lasso regression GLMNET";"2.60031285214652e+22";"8020705898046015488";"2832085079.59172";"2.64983199618362e+21";"8173421993384105984";"2858554063.96958";"6.15162765559757e+22";"8132233003632193536";"2851707033.27537"
"Lasso_regression_larss";"testing the workflow";"featureset_pca";"Lasso regression LARS";"2.59922136442566e+22";"8017339187000811520";"2831490629.8628";"2.6407311179764e+21";"8145461949343168512";"2853649133.78483";"6.15362642462902e+22";"8134875305213852672";"2852170279.84198"

"linear_regressions_fitting";"testing the workflow";"featureset_pca";"simple linear regression";"185837142967025";"57321759089.1503";"239419.629707237";"460358587438839";"157439840214.44";"396735.54646008";"481051438408365";"63593289498.0984";"252177.099471975"
"ridge_regressions_mass";"testing the workflow";"featureset_pca";"ridge regression MASS";"185837269785402";"57321798206.4781";"239419.711399204";"13725052647389";"42336661636.1583";"205634.8154566";"481086549939595";"63597931117.6674";"252186.302398975"
"ridge_regressions_glmnet";"testing the workflow";"featureset_pca";"ridge regression GLMNET";"186957273654396";"57667265161.7506";"240140.094864957";"13396252088186.3";"41321336288.0854";"202981.063059123";"486859886186154";"64361145638.9918";"253694.985443134"
"lasso_regressions_glmnet";"testing the workflow";"featureset_pca";"lasso regression GLMNET";"185848392034893";"57325228881.8301";"239426.875855302";"13657817121503.4";"42128175944.6334";"204958.542564326";"481285254487346";"63624199152.27";"252238.37763566"
"Lasso_regression_larss";"testing the workflow";"featureset_pca";"Lasso regression LARS";"185837142967025";"57321759089.1503";"239419.629707237";"13767353333195.7";"42465480720.3808";"205991.90074647";"481051438408365";"63593289498.0983";"252177.099471975"

"linear_regressions_fitting";"testing the workflow";"featureset_pca";"simple linear regression";"184360441988785";"56866268349.4093";"238466.493137735";"461763923911726";"157920481986.998";"397342.45942406";"476275799692276";"62961967042.4054";"250922.233057187"
"ridge_regressions_mass";"testing the workflow";"featureset_pca";"ridge regression MASS";"184360662276482";"56866336297.4959";"238466.635606527";"13595034868961.1";"41935590132.3056";"204648.982502188";"476323073193229";"62968216431.1228";"250934.685587949"
"ridge_regressions_glmnet";"testing the workflow";"featureset_pca";"ridge regression GLMNET";"185490249821208";"57214759352.6243";"239196.0688486";"13240128604415.8";"40839895799.994";"201832.617390434";"482185144140058";"63743161364.275";"252474.080579126"
"lasso_regressions_glmnet";"testing the workflow";"featureset_pca";"lasso regression GLMNET";"184372957019909";"56870128630.447";"238474.586969863";"13506983658573.9";"41663044372.1094";"203862.592809844";"476565512937625";"63000266103.1959";"250998.538049918"
"Lasso_regression_larss";"testing the workflow";"featureset_pca";"Lasso regression LARS";"188838180718305";"58247433904.4742";"241345.051543375";"14165863098853.7";"43698093846.9365";"208494.916648692";"490991054278228";"64907271369.9819";"254769.054969362"

"linear_regressions_fitting";"testing the workflow";"featureset_pca_normal";"simple linear regression";"185837142967025";"57321759089.1503";"239419.629707237";"460358587438839";"157439840214.44";"396735.54646008";"481051438408365";"63593289498.0984";"252177.099471975"
"ridge_regressions_mass";"testing the workflow";"featureset_pca_normal";"ridge regression MASS";"185837269785402";"57321798206.4781";"239419.711399204";"13725052647389";"42336661636.1583";"205634.8154566";"481086549939595";"63597931117.6674";"252186.302398975"
"ridge_regressions_glmnet";"testing the workflow";"featureset_pca_normal";"ridge regression GLMNET";"186957273654396";"57667265161.7506";"240140.094864957";"13396252088186.3";"41321336288.0854";"202981.063059123";"486859886186154";"64361145638.9918";"253694.985443134"
"lasso_regressions_glmnet";"testing the workflow";"featureset_pca_normal";"lasso regression GLMNET";"185848392034893";"57325228881.8301";"239426.875855302";"13657817121503.4";"42128175944.6334";"204958.542564326";"481285254487346";"63624199152.27";"252238.37763566"
"Lasso_regression_larss";"testing the workflow";"featureset_pca_normal";"Lasso regression LARS";"185837142967025";"57321759089.1503";"239419.629707237";"13767353333195.7";"42465480720.3808";"205991.90074647";"481051438408365";"63593289498.0983";"252177.099471975"


"linear_regressions_fitting";"testing the workflow";"featureset_pca_nooutliers";"simple linear regression";"185002303192519";"57090666006.0235";"238936.531334209";"463995862623673";"158823315832.288";"398444.86150849";"495709663361022";"65557053939.1685";"256041.117672862"
"ridge_regressions_mass";"testing the workflow";"featureset_pca_nooutliers";"ridge regression MASS";"185002401026875";"57090696197.1532";"238936.594512338";"15230317666547.2";"47000514089.4156";"216639.690976358";"495745331247452";"65561770977.6435";"256050.32899343"
"ridge_regressions_glmnet";"testing the workflow";"featureset_pca_nooutliers";"ridge regression GLMNET";"186011738000145";"57402171887.0991";"239587.503612144";"14959054757776.6";"46163533034.5675";"214550.835763598";"501769548851826";"66358467083.4922";"257601.37244101"
"lasso_regressions_glmnet";"testing the workflow";"featureset_pca_nooutliers";"lasso regression GLMNET";"185013189705737";"57094025522.5234";"238943.561374906";"15132203516342.4";"46697778597.9336";"215836.250886188";"495882182509167";"65579869405.431";"256085.668098453"
"Lasso_regression_larss";"testing the workflow";"featureset_pca_nooutliers";"Lasso regression LARS";"185002303192519";"57090666006.0235";"238936.531334209";"15261883584784.3";"47097514204.0338";"216624.980009358";"495709663361023";"65557053939.1685";"256041.117672862"
"pcr_regression";"testing the workflow";"raw_continuous_vars";"PCR";"185913266927343";"57345239644.461";"239468.661090467";"13892755386278.5";"42852190990.1104";"206888.991649928";"481069329848803";"63595654682.9008";"252181.788959673"
